,Emotional Reactions (Empathetic),Emotional Reactions (Non-Empathetic),Emotional Reactions (Normal),Explorations (Empathetic),Explorations (Non-Empathetic),Explorations (Normal),Interpretations (Empathetic),Interpretations (Non-Empathetic),Interpretations (Normal),Empathy (Empathetic),Empathy (Non-Empathetic),Empathy (Normal)
# Participants,8,17,0,8,17,0,8,17,0,8,17,0
Initial Session Avg,1.0,1.0,N/A,2.0,2.0,N/A,1.0,1.0,N/A,1.38,1.22,N/A
Initial Session Cts,Rating = 1: 100%,Rating = 1: 100%,N/A,Rating = 2: 100%,Rating = 2: 100%,N/A,Rating = 1: 100%,Rating = 1: 100%,N/A,Rating = 1: 62%,Rating = 1: 78%,N/A
Maint. Session Avg,1.0,1.0,N/A,2.0,1.68,N/A,0.88,0.84,N/A,1.25,0.95,N/A
Maint. Session Cts,Rating = 1: 100%,Rating = 1: 89% / Rating = 0: 5%,N/A,Rating = 2: 100%,Rating = 2: 74% / Rating = 1: 21%,N/A,Rating = 1: 88% / Rating = 0: 12%,Rating = 1: 84% / Rating = 0: 16%,N/A,Rating = 1: 75% / Rating = 2: 25%,Rating = 1: 84% / Rating = 0: 11%,N/A
